序号	是否重复	重复标记	与哪条重复	重复次数	估算批次	transactionHash	timestamp	conditionId	type	size	usdcSize	price	side	outcome	outcomeIndex	asset	title	时间
1	否				0	0x620e849bf811435da01d7ff9264e14db92335d94bc4744701fc0349eaed8a929	1766479927	0xdc69b0ef14a77badfbf2b2bd11d1aae67f6c142efd2cadead196564fd74fc825	REDEEM	100	100	0			999		Naji Marshall: Points Over 13.5	2025-12-23 16:52:07
2	否				0	0xfb6ea2392b821bae5f907dccfe82e1408b2ecde209976aa87425425a97e4e70c	1766479897	0x19d30b9a66c03ea0f7f624fc3dea3365fd952bd2772eaef59cc00bbae3a26976	REDEEM	100	100	0			999		Jordan Poole: Points Over 15.5	2025-12-23 16:51:37
3	否				0	0xbfe4d8da2d595f759f265617f1dd6a5ee11d3c6f7af70ce4166ac994b890bc56	1766476387	0x7b2d88d2a85942bda41fa9b55c14ddf18adb1dc3db0a0d4286acbb28e80197fe	TRADE	100	99.9	0.999	BUY	Yes	0	30110876529269049647195902837445481499137308881424733385220399372113717517251	Derik Queen: Assists Over 4.5	2025-12-23 15:53:07
4	否				0	0x899060baca5e91b4b198625429b25adfb6156ff367b19134580ad0f2c3e83c61	1766476385	0xd115ce1c021d872931c6fab4e35122238d1b87a9963e1ab051fb01f63e195442	TRADE	99.95	99.85005	0.999	BUY	No	1	47955767046631562525129976973939049041906117280322450448202522862212049529978	Cooper Flagg: Points Over 20.5	2025-12-23 15:53:05
5	否				0	0x5613af7021b73fe395374d32c0c00dd57632895bd82bb7e6309ef5e313d33481	1766476379	0x581d00611764d8f70db127e78cfd93ba1c8a5a942e1e1eb9a5cb8127a2fbc5e2	TRADE	100	99.9	0.999	BUY	Yes	0	18683974321154051483701593803033491910530900685357591741647070874101995584487	Zion Williamson: Points Over 19.5	2025-12-23 15:52:59
6	否				0	0xed4eebdf7c5637982164187cfec2693f88f84f6c514dc07fedfbd294f2e23df8	1766476367	0x19d30b9a66c03ea0f7f624fc3dea3365fd952bd2772eaef59cc00bbae3a26976	TRADE	100	99.9	0.999	BUY	No	1	38172754336688497275146115460307608798979537845631304696536557480216625708269	Jordan Poole: Points Over 15.5	2025-12-23 15:52:47
7	否				0	0x52d45415021aace92eb18bf98761e3ef542ed54c1a0bceedd0cf90ac3f86e14d	1766476363	0xdc69b0ef14a77badfbf2b2bd11d1aae67f6c142efd2cadead196564fd74fc825	TRADE	100	99.9	0.999	BUY	Yes	0	25787466755530228258093589781568545779936209083492874164823000698857532906401	Naji Marshall: Points Over 13.5	2025-12-23 15:52:43
8	否				0	0x31417783fcbea355af2f7cf47d8b734a7c9b3bc59b3d852ba7fe3a5d1cfb886b	1766476233	0xc17105aa47f66a0a281175a3f0ecc734fdafed67243bc8720b3ff35d533f8073	TRADE	100	99.9	0.999	BUY	No	1	50493235113120392194540653181559220772211340697314574781263407019381922558817	P.J. Washington: Points Over 16.5	2025-12-23 15:50:33
9	否				0	0xf6d1fa0122bcb029173539a3be3f04e0dd09d44cd4277f49289fae3a621cbda5	1766476213	0x393d7f1433ac82ef914af1f2974ee84082d65af6e39dd1932d53cf97a0649b29	REDEEM	100	100	0			999		Jarrett Allen: Points Over 14.5	2025-12-23 15:50:13
10	否				0	0x4b10544ce7b9874b9b675413e93ceb9540363b21c45d65cf51cd343f9bcf4518	1766474573	0xb75435c94d4aeb6f8ef8c672bfcaaff502b47a5a9c0c70e92551e81432dcde88	TRADE	100	99.9	0.999	BUY	No	1	69126154047033700465903033054138412990751929481703276976486668316697495293195	Trey Murphy III: Points Over 18.5	2025-12-23 15:22:53
