序号	是否重复	重复标记	与哪条重复	重复次数	当前offset	批次号	首次出现offset	首次出现批次	transactionHash	timestamp	conditionId	type	size	usdcSize	price	side	outcome	outcomeIndex	asset	title	时间
1	否				0	0			0x25a9287b261a6db094d6b4e662aee0812cfb823b5d0d96c05fd0519cdb2470c2	1766480055	0xd115ce1c021d872931c6fab4e35122238d1b87a9963e1ab051fb01f63e195442	REDEEM	99.95	99.95	0			999		Cooper Flagg: Points Over 20.5	2025-12-23 16:54:15
2	否				0	0			0xf6cbd039cb30a26adb5caf25e6bf4758e6f2af1d705f581aae1c6b3c5c974cdc	1766480045	0xf7ad380b53bcdb7148cfe6a62b8410d60a128e1facb8acd00d7ed96837952000	TRADE	100	99.9	0.999	BUY	Yes	0	65325583919449192991745168434747616034356515748020880637711941605204978461679	Cam Spencer: Assists Over 5.5	2025-12-23 16:54:05
3	否				0	0			0x5afeec29eec99bc47f5bb3cf16674fbafff0147d0b4d358c37901e245c2a6203	1766480033	0x88cb3c3f8cb2983fe1b59c5a43be62f7096b3d02ac70a27b2eaaf2c4ab33f300	TRADE	100	99.8	0.998	BUY	Yes	0	44070794057892953016390900388120885452604992573522015872055178776810618781283	Will Barack Obama be named in newly released Epstein files?	2025-12-23 16:53:53
4	否				0	0			0x620e849bf811435da01d7ff9264e14db92335d94bc4744701fc0349eaed8a929	1766479927	0xdc69b0ef14a77badfbf2b2bd11d1aae67f6c142efd2cadead196564fd74fc825	REDEEM	100	100	0			999		Naji Marshall: Points Over 13.5	2025-12-23 16:52:07
5	是	原始（重复4次）		4	0	0	0	0	0xfb6ea2392b821bae5f907dccfe82e1408b2ecde209976aa87425425a97e4e70c	1766479897	0x19d30b9a66c03ea0f7f624fc3dea3365fd952bd2772eaef59cc00bbae3a26976	REDEEM	100	100	0			999		Jordan Poole: Points Over 15.5	2025-12-23 16:51:37
6	是	重复（与第5条重复，首次出现在offset=0）	第5条	4	0	0	0	0	0xfb6ea2392b821bae5f907dccfe82e1408b2ecde209976aa87425425a97e4e70c	1766479897	0xc17105aa47f66a0a281175a3f0ecc734fdafed67243bc8720b3ff35d533f8073	REDEEM	100	100	0			999		P.J. Washington: Points Over 16.5	2025-12-23 16:51:37
7	是	重复（与第5条重复，首次出现在offset=0）	第5条	4	0	0	0	0	0xfb6ea2392b821bae5f907dccfe82e1408b2ecde209976aa87425425a97e4e70c	1766479897	0xb75435c94d4aeb6f8ef8c672bfcaaff502b47a5a9c0c70e92551e81432dcde88	REDEEM	100	100	0			999		Trey Murphy III: Points Over 18.5	2025-12-23 16:51:37
8	是	重复（与第5条重复，首次出现在offset=0）	第5条	4	0	0	0	0	0xfb6ea2392b821bae5f907dccfe82e1408b2ecde209976aa87425425a97e4e70c	1766479897	0x9591470039b85c1909de2837371abcc795acd341dc08a4b9438bb4d28d52813e	REDEEM	100	100	0			999		Anthony Davis: Points Over 24.5	2025-12-23 16:51:37
9	否				0	0			0xbfe4d8da2d595f759f265617f1dd6a5ee11d3c6f7af70ce4166ac994b890bc56	1766476387	0x7b2d88d2a85942bda41fa9b55c14ddf18adb1dc3db0a0d4286acbb28e80197fe	TRADE	100	99.9	0.999	BUY	Yes	0	30110876529269049647195902837445481499137308881424733385220399372113717517251	Derik Queen: Assists Over 4.5	2025-12-23 15:53:07
10	否				0	0			0x899060baca5e91b4b198625429b25adfb6156ff367b19134580ad0f2c3e83c61	1766476385	0xd115ce1c021d872931c6fab4e35122238d1b87a9963e1ab051fb01f63e195442	TRADE	99.95	99.85005	0.999	BUY	No	1	47955767046631562525129976973939049041906117280322450448202522862212049529978	Cooper Flagg: Points Over 20.5	2025-12-23 15:53:05
11	否				0	0			0x5613af7021b73fe395374d32c0c00dd57632895bd82bb7e6309ef5e313d33481	1766476379	0x581d00611764d8f70db127e78cfd93ba1c8a5a942e1e1eb9a5cb8127a2fbc5e2	TRADE	100	99.9	0.999	BUY	Yes	0	18683974321154051483701593803033491910530900685357591741647070874101995584487	Zion Williamson: Points Over 19.5	2025-12-23 15:52:59
12	否				0	0			0xed4eebdf7c5637982164187cfec2693f88f84f6c514dc07fedfbd294f2e23df8	1766476367	0x19d30b9a66c03ea0f7f624fc3dea3365fd952bd2772eaef59cc00bbae3a26976	TRADE	100	99.9	0.999	BUY	No	1	38172754336688497275146115460307608798979537845631304696536557480216625708269	Jordan Poole: Points Over 15.5	2025-12-23 15:52:47
13	否				0	0			0x52d45415021aace92eb18bf98761e3ef542ed54c1a0bceedd0cf90ac3f86e14d	1766476363	0xdc69b0ef14a77badfbf2b2bd11d1aae67f6c142efd2cadead196564fd74fc825	TRADE	100	99.9	0.999	BUY	Yes	0	25787466755530228258093589781568545779936209083492874164823000698857532906401	Naji Marshall: Points Over 13.5	2025-12-23 15:52:43
14	否				0	0			0x31417783fcbea355af2f7cf47d8b734a7c9b3bc59b3d852ba7fe3a5d1cfb886b	1766476233	0xc17105aa47f66a0a281175a3f0ecc734fdafed67243bc8720b3ff35d533f8073	TRADE	100	99.9	0.999	BUY	No	1	50493235113120392194540653181559220772211340697314574781263407019381922558817	P.J. Washington: Points Over 16.5	2025-12-23 15:50:33
