日期,数量,金额USDC,笔数,买入钱包地址数
2026-01-22,6459.2500,6452.73,91,1
2026-01-23,12459.4812,12448.72,189,1
2026-01-24,5478.1000,5474.39,88,1
2026-01-25,2295.8000,2294.15,54,1
2026-01-26,11117.0600,11108.95,144,1
2026-01-27,10083.1100,10075.65,123,1
2026-01-28,5692.9800,5689.45,75,1
2026-01-29,5008.3700,5004.68,71,1
2026-01-30,8022.6000,8015.90,115,1
2026-01-31,10914.1600,10902.10,157,1
2026-02-01,10686.8600,10678.09,163,1
2026-02-02,6715.2800,6710.88,91,1
2026-02-03,6606.5600,6602.72,101,1
2026-02-04,18592.3022,18579.10,277,3
2026-02-05,20782.4200,20770.56,323,3
2026-02-06,27365.1200,27348.94,385,3
2026-02-07,29783.2966,29765.02,454,3
2026-02-08,56728.4767,56695.63,2403,29
2026-02-09,66241.7355,66188.84,3435,30
2026-02-10,57682.1966,57637.63,2931,30
2026-02-11,66111.3638,66065.49,3118,35
2026-02-12,77119.8930,77068.59,2979,43
2026-02-13,136952.8355,136867.19,4695,44
2026-02-14,134762.2900,134683.68,4588,51
2026-02-15,186069.2900,185971.86,6028,55
2026-02-16,109558.9867,109497.92,3479,56
2026-02-17,116382.6160,116319.81,3468,56
2026-02-18,78701.7500,78634.71,2411,56
2026-02-19,122091.9511,122023.81,3676,56
2026-02-20,235548.7731,235395.58,5606,78
2026-02-21,277515.6821,277340.01,8213,123
2026-02-22,234123.3677,233983.56,7899,125
2026-02-23,97551.2164,97509.54,3439,150
2026-02-24,134380.9500,134309.03,4966,152
2026-02-25,123100.7409,123029.35,4851,156
2026-02-26,325445.8958,325281.61,12831,184
2026-02-27,211584.3174,211478.81,8931,204
2026-02-28,224248.2602,223512.86,11361,210
2026-03-01,34176.6800,34163.67,1746,197
